SNP	Phenotype	Gene(Tissues)	Gene(Tissue Count)
rs102030	pheno7	"MAPK1(Liver),SUFU(Testis)"	"MAPK1(1),SUFU(1)"
rs109114	pheno7	"SPATA24(Adipose_Subcutaneous,Artery_Tibial,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Esophagus_Gastroesophageal_Junction,Thyroid),MAPK1(Adipose_Visceral_Omentum,Artery_Aorta,Artery_Coronary,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Transverse,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Vagina,Whole_Blood),SEMA5A,SPATA24,LMBR1L(Muscle_Skeletal),CSPP1(Nerve_Tibial)"	"SPATA24(6),MAPK1(32),SEMA5A,SPATA24,LMBR1L(1),CSPP1(1)"
rs138511	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Testis,Thyroid,Uterus,Vagina,Whole_Blood),CORO2B(Adrenal_Gland),BAIAP2L2(Brain_Cortex),S100A8(Esophagus_Muscularis,Stomach)"	"MAPK1(44),CORO2B(1),BAIAP2L2(1),S100A8(2)"
rs139362	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Brain_Amygdala,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Hippocampus,Cells_Transformed_fibroblasts,Muscle_Skeletal)"	MAPK1(8)
rs141852	pheno9	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Heart_Atrial_Appendage,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Stomach,Testis,Thyroid,Whole_Blood),CFAP57(Artery_Tibial)"	"MAPK1(29),CFAP57(1)"
rs146494	pheno1	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Coronary,Breast_Mammary_Tissue,Heart_Left_Ventricle,Muscle_Skeletal,Pituitary,Thyroid)"	MAPK1(8)
rs151445	pheno4	"MAPK1(Adipose_Subcutaneous,Artery_Tibial,Brain_Cerebellum,Cells_Transformed_fibroblasts,Colon_Sigmoid,Esophagus_Muscularis,Nerve_Tibial,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Whole_Blood)"	MAPK1(10)
rs153501	pheno7	"MAPK1(Adipose_Subcutaneous,Adrenal_Gland,Cells_Transformed_fibroblasts,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg)"	MAPK1(5)
rs154854	pheno1	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Nucleus_accumbens_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Stomach,Testis,Thyroid,Whole_Blood)"	MAPK1(37)
rs155682	pheno1	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Artery_Tibial,Brain_Cortex,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Muscle_Skeletal,Nerve_Tibial,Ovary,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Stomach,Whole_Blood)"	MAPK1(15)
rs177294	pheno4	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Cortex,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Prostate,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Whole_Blood)"	MAPK1(31)
rs186068	pheno7	"HSFX2(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Tibial),MAPK1(Adrenal_Gland,Artery_Aorta,Artery_Coronary,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Cortex,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Testis,Thyroid,Whole_Blood)"	"HSFX2(3),MAPK1(22)"
